transaction_id,date,time,transaction_type,category,item_name,quantity,unit_price,total_amount,payment_method,customer_type,vendor_name,profit_margin_estimate
"T000140","2025-01-07","10:49:11","sale","coffee","Espresso","1","250","250","card","walk-in",,"0.7"
"T000141","2025-01-07","11:01:09","sale","coffee","Cappuccino","1","400","400","card","regular",,"0.65"
"T000142","2025-01-08","10:50:04","sale","tea","Green Tea","1","120","120","cash","walk-in",,"0.65"
"T000143","2025-01-08","10:23:34","sale","tea","Green Tea","1","120","120","card","regular",,"0.65"
"T000144","2025-01-08","10:21:09","sale","dessert","Brownie","1","350","350","cash","walk-in",,"0.5"
"T000145","2025-01-08","19:14:31","sale","dessert","Brownie","1","350","350","cash","walk-in",,"0.5"
"T000146","2025-01-08","18:47:12","sale","coffee","Americano","3","300","900","bank_transfer","walk-in",,"0.75"
"T000147","2025-01-08","21:15:29","sale","tea","Karak Chai","1","150","150","card","walk-in",,"0.6"
"T000148","2025-01-08","19:17:46","sale","dessert","Brownie","2","350","700","cash","walk-in",,"0.5"
"T000149","2025-01-08","09:57:48","sale","tea","Green Tea","2","120","240","cash","walk-in",,"0.65"
"T000150","2025-01-08","14:35:49","sale","snacks","Fries","1","250","250","cash","regular",,"0.5"
"T000151","2025-01-08","20:59:15","sale","coffee","Americano","1","300","300","card","walk-in",,"0.75"
"T000152","2025-01-08","15:28:23","sale","snacks","Chicken Sandwich","4","450","1800","bank_transfer","walk-in",,"0.4"
"T000153","2025-01-08","14:42:32","sale","coffee","Americano","1","300","300","jazzcash","walk-in",,"0.75"
"T000154","2025-01-08","11:01:47","sale","tea","Cardamom Tea","1","180","180","cash","walk-in",,"0.6"
"T000155","2025-01-08","08:09:36","sale","snacks","Chicken Sandwich","2","450","900","card","walk-in",,"0.4"
"T000156","2025-01-08","10:39:31","sale","coffee","Latte","1","450","450","easypaisa","walk-in",,"0.65"
"T000157","2025-01-08","19:22:10","sale","coffee","Cappuccino","3","400","1200","easypaisa","regular",,"0.65"
"T000158","2025-01-09","14:28:37","sale","coffee","Americano","2","300","600","card","regular",,"0.75"
"T000159","2025-01-09","20:25:19","sale","coffee","Americano","1","300","300","easypaisa","walk-in",,"0.75"
"T000160","2025-01-09","11:53:19","sale","dessert","Cheesecake Slice","1","600","600","cash","walk-in",,"0.45"
"T000161","2025-01-09","08:21:03","sale","coffee","Espresso","1","250","250","cash","regular",,"0.7"
"T000162","2025-01-09","19:18:30","sale","tea","Cardamom Tea","1","180","180","card","walk-in",,"0.6"
"T000163","2025-01-09","09:27:16","sale","snacks","Fries","2","250","500","cash","walk-in",,"0.5"
"T000164","2025-01-09","09:40:23","sale","coffee","Latte","1","450","450","card","new",,"0.65"
"T000165","2025-01-09","11:08:48","sale","dessert","Brownie","1","350","350","card","walk-in",,"0.5"
"T000166","2025-01-09","10:57:35","sale","tea","Karak Chai","3","150","450","cash","new",,"0.6"
"T000167","2025-01-09","20:11:50","sale","tea","Cardamom Tea","3","180","540","cash","walk-in",,"0.6"
"T000168","2025-01-09","17:07:42","sale","coffee","Latte","4","450","1800","cash","regular",,"0.65"
"T000169","2025-01-09","17:58:26","sale","coffee","Espresso","1","250","250","cash","regular",,"0.7"
"T000170","2025-01-09","08:13:13","sale","coffee","Americano","3","300","900","card","new",,"0.75"
"T000171","2025-01-09","18:53:55","sale","snacks","Club Sandwich","1","550","550","cash","new",,"0.4"
"T000172","2025-01-10","17:36:39","sale","coffee","Latte","1","450","450","easypaisa","walk-in",,"0.65"
"T000173","2025-01-10","16:40:50","sale","tea","Green Tea","2","120","240","cash","walk-in",,"0.65"
"T000174","2025-01-10","20:11:48","sale","snacks","Chicken Sandwich","2","450","900","cash","walk-in",,"0.4"
"T000175","2025-01-10","19:49:54","sale","tea","Karak Chai","1","150","150","cash","new",,"0.6"
"T000176","2025-01-10","15:58:02","sale","coffee","Latte","1","450","450","cash","regular",,"0.65"
"T000177","2025-01-10","10:51:53","sale","tea","Karak Chai","1","150","150","cash","walk-in",,"0.6"
"T000178","2025-01-10","11:25:15","sale","coffee","Americano","3","300","900","jazzcash","walk-in",,"0.75"
"T000179","2025-01-10","18:14:30","sale","snacks","Chicken Sandwich","1","450","450","cash","walk-in",,"0.4"
"T000180","2025-01-10","10:26:23","sale","tea","Karak Chai","1","150","150","card","new",,"0.6"
"T000181","2025-01-10","18:28:04","sale","tea","Cardamom Tea","1","180","180","cash","walk-in",,"0.6"
"T000182","2025-01-10","09:29:27","sale","coffee","Latte","1","450","450","card","walk-in",,"0.65"
"T000183","2025-01-10","17:47:27","sale","dessert","Cookie","1","150","150","cash","walk-in",,"0.5"
"T000184","2025-01-10","08:39:17","sale","tea","Green Tea","1","120","120","easypaisa","walk-in",,"0.65"
"T000185","2025-01-10","13:39:12","sale","coffee","Espresso","1","250","250","cash","walk-in",,"0.7"
"T000186","2025-01-10","21:12:53","sale","coffee","Americano","1","300","300","card","walk-in",,"0.75"
"T000187","2025-01-11","08:53:13","sale","coffee","Espresso","1","250","250","card","walk-in",,"0.7"
"T000188","2025-01-11","18:54:09","sale","coffee","Americano","2","300","600","card","walk-in",,"0.75"
"T000189","2025-01-11","11:16:59","sale","coffee","Espresso","1","250","250","card","regular",,"0.7"
"T000190","2025-01-11","20:30:01","sale","coffee","Latte","2","450","900","card","walk-in",,"0.65"
"T000191","2025-01-11","08:10:05","sale","coffee","Espresso","2","250","500","cash","regular",,"0.7"
"T000192","2025-01-11","21:11:54","sale","snacks","Chicken Sandwich","2","450","900","cash","new",,"0.4"
"T000193","2025-01-11","09:51:15","sale","tea","Cardamom Tea","2","180","360","card","regular",,"0.6"
"T000194","2025-01-11","10:00:55","sale","snacks","Fries","1","250","250","cash","walk-in",,"0.5"
"T000195","2025-01-11","21:56:57","sale","coffee","Americano","1","300","300","cash","new",,"0.75"
"T000196","2025-01-11","21:46:21","sale","tea","Green Tea","1","120","120","cash","walk-in",,"0.65"
"T000197","2025-01-11","16:02:37","sale","snacks","Fries","1","250","250","cash","walk-in",,"0.5"
"T000198","2025-01-11","20:49:07","sale","tea","Karak Chai","1","150","150","card","walk-in",,"0.6"
"T000199","2025-01-11","15:56:24","sale","tea","Karak Chai","2","150","300","easypaisa","walk-in",,"0.6"
"T000200","2025-01-11","09:52:48","sale","dessert","Cheesecake Slice","1","600","600","card","walk-in",,"0.45"
"T000201","2025-01-11","08:25:18","sale","coffee","Espresso","1","250","250","jazzcash","new",,"0.7"
"T000202","2025-01-11","15:48:52","sale","snacks","Chicken Sandwich","1","450","450","card","walk-in",,"0.4"
"T000203","2025-01-11","14:16:16","sale","snacks","Fries","1","250","250","card","walk-in",,"0.5"
"T000204","2025-01-11","16:06:58","sale","tea","Cardamom Tea","1","180","180","card","new",,"0.6"
"T000205","2025-01-12","19:11:33","sale","tea","Cardamom Tea","1","180","180","card","new",,"0.6"
"T000206","2025-01-12","11:49:36","sale","snacks","Fries","2","250","500","cash","regular",,"0.5"
"T000207","2025-01-12","15:08:52","sale","snacks","Club Sandwich","1","550","550","cash","walk-in",,"0.4"
"T000208","2025-01-12","16:37:32","sale","dessert","Cheesecake Slice","4","600","2400","card","regular",,"0.45"
"T000209","2025-01-12","18:11:08","sale","tea","Green Tea","1","120","120","cash","walk-in",,"0.65"
"T000210","2025-01-12","09:50:03","sale","tea","Green Tea","1","120","120","card","walk-in",,"0.65"
"T000211","2025-01-12","15:26:50","sale","coffee","Americano","1","300","300","cash","new",,"0.75"
"T000212","2025-01-12","11:17:18","sale","tea","Karak Chai","1","150","150","card","new",,"0.6"
"T000213","2025-01-12","10:25:07","sale","coffee","Americano","2","300","600","bank_transfer","regular",,"0.75"
"T000214","2025-01-12","11:29:56","sale","coffee","Espresso","3","250","750","bank_transfer","regular",,"0.7"
"T000215","2025-01-12","19:58:38","sale","dessert","Cheesecake Slice","3","600","1800","jazzcash","walk-in",,"0.45"
"T000216","2025-01-12","14:51:47","sale","snacks","Fries","1","250","250","bank_transfer","walk-in",,"0.5"
"T000217","2025-01-12","11:58:18","sale","coffee","Americano","1","300","300","cash","new",,"0.75"
"T000218","2025-01-12","20:39:49","sale","snacks","Club Sandwich","1","550","550","cash","walk-in",,"0.4"
"T000219","2025-01-12","20:15:30","sale","snacks","Fries","3","250","750","card","walk-in",,"0.5"
"T000220","2025-01-12","10:04:59","sale","tea","Green Tea","1","120","120","jazzcash","new",,"0.65"
"T000221","2025-01-12","09:50:19","sale","coffee","Latte","4","450","1800","jazzcash","walk-in",,"0.65"
"T000222","2025-01-12","21:34:40","sale","dessert","Cheesecake Slice","1","600","600","card","walk-in",,"0.45"
"T000223","2025-01-12","09:32:06","sale","coffee","Espresso","3","250","750","easypaisa","regular",,"0.7"
"T000224","2025-01-12","08:40:47","sale","snacks","Club Sandwich","3","550","1650","bank_transfer","new",,"0.4"
"T000225","2025-01-12","21:08:23","sale","coffee","Cappuccino","4","400","1600","cash","walk-in",,"0.65"
"T000226","2025-01-12","18:35:54","sale","coffee","Latte","3","450","1350","cash","walk-in",,"0.65"
"T000227","2025-01-12","10:26:47","sale","snacks","Chicken Sandwich","1","450","450","cash","walk-in",,"0.4"
"T000228","2025-01-12","10:19:03","sale","coffee","Latte","2","450","900","cash","regular",,"0.65"
"T000229","2025-01-12","17:10:09","sale","coffee","Latte","1","450","450","card","regular",,"0.65"
"T000230","2025-01-12","17:57:38","sale","tea","Green Tea","3","120","360","card","walk-in",,"0.65"
"T000231","2025-01-12","11:32:36","sale","tea","Green Tea","3","120","360","cash","regular",,"0.65"
"T000232","2025-01-12","11:57:17","sale","coffee","Latte","1","450","450","cash","regular",,"0.65"
"T000233","2025-01-12","19:54:20","sale","tea","Cardamom Tea","1","180","180","cash","new",,"0.6"
"T000234","2025-01-12","17:54:11","sale","snacks","Fries","1","250","250","card","walk-in",,"0.5"
"T000235","2025-01-13","10:14:07","sale","coffee","Espresso","2","250","500","card","regular",,"0.7"
"T000236","2025-01-13","08:08:13","sale","snacks","Club Sandwich","4","550","2200","cash","regular",,"0.4"
"T000237","2025-01-13","17:10:43","sale","coffee","Americano","2","300","600","card","walk-in",,"0.75"
"T000238","2025-01-13","14:38:28","sale","coffee","Cappuccino","1","400","400","cash","walk-in",,"0.65"
"T000239","2025-01-13","12:36:49","sale","snacks","Fries","2","250","500","cash","walk-in",,"0.5"
"T000240","2025-01-13","10:16:39","sale","snacks","Chicken Sandwich","1","450","450","cash","new",,"0.4"
"T000241","2025-01-13","19:52:52","sale","tea","Karak Chai","1","150","150","card","new",,"0.6"
"T000242","2025-01-13","18:27:50","sale","snacks","Fries","1","250","250","cash","regular",,"0.5"
"T000243","2025-01-13","16:15:44","sale","coffee","Cappuccino","2","400","800","cash","new",,"0.65"
"T000244","2025-01-13","10:01:38","sale","coffee","Americano","2","300","600","cash","walk-in",,"0.75"
"T000245","2025-01-13","18:36:21","sale","dessert","Cookie","1","150","150","cash","regular",,"0.5"
"T000246","2025-01-13","20:06:25","sale","dessert","Cheesecake Slice","1","600","600","cash","walk-in",,"0.45"
"T000247","2025-01-13","19:02:23","sale","tea","Green Tea","1","120","120","cash","walk-in",,"0.65"
"T000248","2025-01-13","10:05:12","sale","coffee","Americano","3","300","900","easypaisa","walk-in",,"0.75"
"T000249","2025-01-13","19:13:21","sale","snacks","Fries","1","250","250","jazzcash","walk-in",,"0.5"
"T000250","2025-01-13","18:12:39","sale","tea","Karak Chai","1","150","150","card","walk-in",,"0.6"
"T000251","2025-01-13","09:00:00","expense","supplies",,"1","85000","85000","cash",,"Local Roaster & Bakery",
"T000252","2025-01-14","12:40:19","sale","dessert","Brownie","3","350","1050","cash","regular",,"0.5"
"T000253","2025-01-14","11:26:55","sale","tea","Cardamom Tea","2","180","360","bank_transfer","walk-in",,"0.6"
"T000254","2025-01-14","10:37:50","sale","snacks","Club Sandwich","1","550","550","card","new",,"0.4"
"T000255","2025-01-14","18:00:49","sale","coffee","Americano","4","300","1200","cash","walk-in",,"0.75"
"T000256","2025-01-14","11:55:47","sale","tea","Cardamom Tea","1","180","180","cash","walk-in",,"0.6"
"T000257","2025-01-14","13:01:22","sale","snacks","Fries","1","250","250","jazzcash","walk-in",,"0.5"
"T000258","2025-01-14","10:25:35","sale","coffee","Espresso","1","250","250","card","regular",,"0.7"
"T000259","2025-01-14","17:16:24","sale","tea","Karak Chai","1","150","150","cash","walk-in",,"0.6"
"T000260","2025-01-14","10:36:47","sale","coffee","Espresso","1","250","250","card","walk-in",,"0.7"
"T000261","2025-01-15","10:02:42","sale","snacks","Fries","1","250","250","bank_transfer","regular",,"0.5"
"T000262","2025-01-15","18:01:37","sale","coffee","Latte","1","450","450","jazzcash","regular",,"0.65"
"T000263","2025-01-15","09:34:14","sale","snacks","Chicken Sandwich","1","450","450","cash","walk-in",,"0.4"
"T000264","2025-01-15","09:08:06","sale","coffee","Cappuccino","4","400","1600","cash","regular",,"0.65"
"T000265","2025-01-15","14:00:00","expense","utilities",,"1","45000","45000","bank_transfer",,"LESCO/PTCL",
"T000266","2025-01-16","09:33:27","sale","dessert","Cheesecake Slice","1","600","600","cash","new",,"0.45"
"T000267","2025-01-16","16:00:36","sale","dessert","Cheesecake Slice","1","600","600","card","walk-in",,"0.45"
"T000268","2025-01-16","10:30:06","sale","tea","Green Tea","1","120","120","cash","walk-in",,"0.65"
"T000269","2025-01-16","11:16:44","sale","snacks","Chicken Sandwich","2","450","900","cash","walk-in",,"0.4"
"T000270","2025-01-16","12:16:41","sale","coffee","Latte","1","450","450","cash","regular",,"0.65"
